pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Snover (Shadow),58.2,grass,ice,102.7,94.8,134,1305610,40.0,Powder Snow,Ice Beam,Energy Ball,90,-55,1.64,90,-55,1.64,5,1,8,1.0,2.5,4.0,12703.199999999999,True
Raticate,58.1,normal,none,126.7,114.6,121,1756060,34.5,Quick Attack,Hyper Fang,Return,80,-50,1.6,130,-70,1.86,5,1,7,1.0,2.5,3.5,13866.599999999999,False
Flaaffy,58.0,electric,none,124.1,97.2,147,1772989,40.0,Charge Beam,Discharge,Return,65,-45,1.44,130,-70,1.86,5,2,11,1.5,1.67,3.67,14288.4,False
Mesprit,58.0,psychic,none,124.6,126.3,114,1794232,17.5,Confusion,Future Sight,Blizzard,120,-65,1.85,140,-75,1.87,16,3,12,2.0,4.0,3.0,14398.199999999999,False
Roggenrola,58.0,rock,none,107.5,98.8,127,1348456,40.0,Smack Down,Stone Edge,Rock Blast,100,-55,1.82,50,-40,1.25,12,2,8,1.5,4.0,2.67,12547.6,False
Starmie,58.0,water,psychic,134.7,120.9,102,1661618,22.0,Water Gun,Psychic,Ice Beam,90,-55,1.64,90,-55,1.64,3,0,3,0.5,3.0,3.0,12331.800000000001,True
Watchog,58.0,normal,none,127.6,112.9,122,1757676,31.0,Bite,Hyper Fang,Crunch,80,-50,1.6,70,-45,1.56,4,0,2,0.5,4.0,2.0,13773.800000000001,False
Hippopotas,57.9,ground,none,109.9,105.1,145,1674243,40.0,Bite,Body Slam,Dig,60,-35,1.71,100,-80,1.25,4,0,2,0.5,4.0,2.0,15239.5,False
Throh,57.8,fighting,none,112.2,104.6,171,2006785,22.0,Low Kick,Body Slam,Low Sweep,60,-35,1.71,40,-40,1.0,4,1,5,1.0,2.0,2.5,17886.6,False
Sandshrew (Shadow),57.7,ground,none,111.4,106.7,120,1426652,40.0,Mud Shot,Rock Slide,Sand Tomb,75,-45,1.67,25,-40,0.63,3,1,9,1.0,1.5,4.5,12804.0,False
Onix,57.6,rock,ground,79.0,195.2,99,1527271,40.0,Rock Throw,Rock Slide,Stone Edge,75,-45,1.67,100,-55,1.82,8,1,5,1.0,4.0,2.5,19324.8,True
Absol (Shadow),57.5,dark,none,158.6,82.4,108,1410794,21.5,Snarl,Dark Pulse,Megahorn,80,-50,1.6,100,-55,1.82,5,2,13,1.5,1.67,4.33,8899.2,False
Exeggcute,57.5,grass,psychic,96.4,110.6,134,1429475,40.0,Confusion,Seed Bomb,Psychic,55,-40,1.38,90,-55,1.64,16,3,12,2.0,4.0,3.0,14820.4,True
Teddiursa,57.5,normal,none,124.1,85.4,134,1419097,40.0,Lick,Cross Chop,Crunch,50,-35,1.43,70,-45,1.56,3,0,3,0.5,3.0,3.0,11443.6,False
Flaaffy (Shadow),57.4,electric,none,124.1,97.2,147,1772989,40.0,Charge Beam,Discharge,Power Gem,65,-45,1.44,80,-60,1.33,5,2,11,1.5,1.67,3.67,14288.4,False
Runerigus,57.4,ground,ghost,111.3,164.9,108,1981559,24.0,Astonish,Shadow Ball,Sand Tomb,100,-55,1.82,25,-40,0.63,5,2,9,1.5,1.67,3.0,17809.2,True
Cacturne,57.1,grass,dark,148.6,84.4,119,1492438,24.0,Sucker Punch,Dark Pulse,Grass Knot,80,-50,1.6,90,-50,1.8,5,1,7,1.0,2.5,3.5,10043.6,True
Exeggcute (Shadow),57.1,grass,psychic,96.4,110.6,134,1429475,40.0,Confusion,Seed Bomb,Psychic,55,-40,1.38,90,-55,1.64,16,3,12,2.0,4.0,3.0,14820.4,True
Pupitar,57.1,rock,ground,120.4,109.9,139,1839776,33.5,Bite,Crunch,Ancient Power,70,-45,1.56,45,-45,1.0,4,0,2,0.5,4.0,2.0,15276.1,True
Frillish,57.0,water,ghost,102.7,117.8,127,1536446,40.0,Bubble,Ice Beam,Ominous Wind,90,-55,1.64,45,-45,1.0,7,2,11,1.5,2.33,3.67,14960.6,True
Espurr,56.8,psychic,none,106.7,101.9,136,1479266,40.0,Confusion,Psyshock,Energy Ball,70,-45,1.56,90,-55,1.64,16,3,12,2.0,4.0,3.0,13858.400000000001,False
Vibrava (Shadow),56.8,ground,dragon,117.8,90.1,120,1273082,40.0,Dragon Breath,Bug Buzz,Bulldoze,90,-60,1.5,80,-60,1.33,4,0,3,0.5,4.0,3.0,10812.0,True
Chatot,56.6,normal,flying,141.1,78.4,143,1582610,32.5,Peck,Sky Attack,Night Shade,75,-45,1.67,60,-55,1.09,6,1,5,1.0,3.0,2.5,11211.2,True
Gorebyss,56.5,water,none,137.5,121.7,97,1622671,22.5,Water Gun,Psychic,Water Pulse,90,-55,1.64,70,-60,1.17,3,0,3,0.5,3.0,3.0,11804.9,False
Cacturne (Shadow),56.1,grass,dark,148.6,84.4,119,1492438,24.0,Sucker Punch,Dark Pulse,Grass Knot,80,-50,1.6,90,-50,1.8,5,1,7,1.0,2.5,3.5,10043.6,True
Cofagrigus,55.9,ghost,none,111.3,164.9,108,1981559,24.0,Astonish,Shadow Ball,Dark Pulse,100,-55,1.82,80,-50,1.6,5,2,9,1.5,1.67,3.0,17809.2,False
Geodude,55.8,rock,ground,116.2,116.2,106,1430621,40.0,Rock Throw,Rock Slide,Dig,75,-45,1.67,100,-80,1.25,8,1,5,1.0,4.0,2.5,12317.2,True
Whirlipede,55.8,bug,poison,90.9,148.6,106,1431349,40.0,Bug Bite,Sludge Bomb,Signal Beam,80,-50,1.6,75,-55,1.36,3,0,3,0.5,3.0,3.0,15751.599999999999,True
Flareon,55.7,fire,none,143.4,107.7,100,1544060,18.0,Fire Spin,Flamethrower,Overheat,90,-55,1.64,130,-55,2.36,9,2,10,1.5,3.0,3.33,10770.0,False
Shellos (East),55.7,water,none,93.3,94.8,156,1379659,40.0,Mud Slap,Body Slam,Mud Bomb,60,-35,1.71,55,-40,1.38,11,2,8,1.5,3.67,2.67,14788.8,False
Shellos (West),55.7,water,none,93.3,94.8,156,1379659,40.0,Mud Slap,Body Slam,Mud Bomb,60,-35,1.71,55,-40,1.38,11,2,8,1.5,3.67,2.67,14788.8,False
Drilbur,55.5,ground,none,133.6,79.0,134,1414411,40.0,Mud Slap,Drill Run,Rock Tomb,80,-45,1.78,70,-60,1.17,11,2,8,1.5,3.67,2.67,10586.0,False
Cherrim (Overcast),55.3,grass,none,122.9,115.9,127,1808807,27.0,Bullet Seed,Solar Beam,Dazzling Gleam,150,-80,1.88,110,-70,1.57,5,2,13,1.5,1.67,4.33,14719.300000000001,False
Herdier,55.0,normal,none,123.4,107.1,138,1823692,37.5,Lick,Thunderbolt,Play Rough,90,-55,1.64,90,-60,1.5,3,0,3,0.5,3.0,3.0,14779.8,False
Sandshrew,54.9,ground,none,111.4,106.7,120,1426652,40.0,Mud Shot,Rock Slide,Sand Tomb,75,-45,1.67,25,-40,0.63,3,1,9,1.0,1.5,4.5,12804.0,False
Vibrava,54.2,ground,dragon,117.8,90.1,120,1273082,40.0,Dragon Breath,Bulldoze,Bug Buzz,80,-60,1.33,90,-60,1.5,4,0,3,0.5,4.0,3.0,10812.0,True
Aipom,54.1,normal,none,119.3,100.4,127,1521137,40.0,Scratch,Aerial Ace,Low Sweep,55,-45,1.22,40,-40,1.0,4,0,2,0.5,4.0,2.0,12750.800000000001,False
Aron (Shadow),54.1,steel,rock,107.5,123.3,120,1590116,40.0,Metal Claw,Body Slam,Iron Head,60,-35,1.71,70,-50,1.4,5,1,6,1.0,2.5,3.0,14796.0,True
Butterfree,54.0,bug,flying,126.9,110.7,124,1741337,31.0,Confusion,Signal Beam,Psychic,75,-55,1.36,90,-55,1.64,16,3,12,2.0,4.0,3.0,13726.800000000001,True
Seadra,54.0,water,none,134.0,115.2,108,1667201,27.0,Dragon Breath,Hydro Pump,Blizzard,130,-75,1.73,140,-75,1.87,4,0,3,0.5,4.0,3.0,12441.6,False
Aron,53.9,steel,rock,107.5,123.3,120,1590116,40.0,Metal Claw,Body Slam,Iron Head,60,-35,1.71,70,-50,1.4,5,1,6,1.0,2.5,3.0,14796.0,True
Azelf,53.9,psychic,none,154.2,88.9,106,1452688,17.5,Confusion,Future Sight,Fire Blast,120,-65,1.85,140,-80,1.75,16,3,12,2.0,4.0,3.0,9423.400000000001,False
Audino,53.7,normal,none,93.6,136.9,187,2394246,37.0,Pound,Disarming Voice,Hyper Beam,70,-45,1.56,150,-80,1.88,5,1,4,1.0,2.5,2.0,25600.3,False
Vanilluxe,53.7,ice,none,133.9,112.7,111,1674639,19.5,Frost Breath,Blizzard,Signal Beam,140,-75,1.87,75,-55,1.36,7,1,5,1.0,3.5,2.5,12509.7,False
Krabby,53.6,water,none,151.4,106.7,91,1470534,39.0,Bubble,Vise Grip,Bubble Beam,40,-40,1.0,25,-40,0.63,7,2,11,1.5,2.33,3.67,9709.7,False
Espeon,53.5,psychic,none,149.8,101.7,98,1492769,17.5,Confusion,Psychic,Last Resort,90,-55,1.64,90,-55,1.64,16,3,12,2.0,4.0,3.0,9966.6,False
Elgyem,53.4,psychic,none,128.8,90.9,127,1486870,40.0,Confusion,Psychic,Dark Pulse,90,-55,1.64,80,-50,1.6,16,3,12,2.0,4.0,3.0,11544.300000000001,False
Loudred,53.2,normal,none,117.8,75.9,167,1491963,40.0,Bite,Stomp,Disarming Voice,55,-40,1.38,70,-45,1.56,4,0,2,0.5,4.0,2.0,12675.300000000001,False
Pidgeotto,53.1,normal,flying,104.3,94.8,138,1365269,40.0,Wing Attack,Aerial Ace,Twister,55,-45,1.22,45,-45,1.0,5,1,7,1.0,2.5,3.5,13082.4,True
Salamence,53.1,dragon,flying,145.5,90.0,117,1532681,14.5,Dragon Tail,Outrage,Hydro Pump,110,-60,1.83,130,-75,1.73,9,2,10,1.5,3.0,3.33,10530.0,True
Deoxys (Speed),52.8,psychic,none,140.2,131.6,86,1586384,18.5,Charge Beam,Psycho Boost,Thunderbolt,70,-35,2.0,90,-55,1.64,5,2,11,1.5,1.67,3.67,11317.6,False
Weezing (Galarian),52.4,poison,fairy,118.5,137.4,115,1872102,24.0,Tackle,Sludge,Overheat,50,-40,1.25,130,-55,2.36,3,0,2,0.5,3.0,2.0,15801.0,True
Cubone (Shadow),52.1,ground,none,83.0,125.7,120,1251272,40.0,Mud Slap,Bone Club,Bulldoze,40,-35,1.14,80,-60,1.33,11,2,8,1.5,3.67,2.67,15084.0,False
Hitmonlee (Shadow),52.1,fighting,none,143.1,117.1,93,1557776,21.5,Rock Smash,Close Combat,Stone Edge,100,-45,2.22,100,-55,1.82,9,2,6,1.5,3.0,2.0,10890.3,False
Raticate (Shadow),52.0,normal,none,126.7,114.6,121,1756060,34.5,Quick Attack,Hyper Fang,Dig,80,-50,1.6,100,-80,1.25,5,1,7,1.0,2.5,3.5,13866.599999999999,False
Cubone,51.6,ground,none,83.0,125.7,120,1251272,40.0,Mud Slap,Bone Club,Return,40,-35,1.14,130,-70,1.86,11,2,8,1.5,3.67,2.67,15084.0,False
Nosepass,51.6,rock,none,76.7,181.8,92,1281951,40.0,Rock Throw,Rock Slide,Rock Blast,75,-45,1.67,50,-40,1.25,8,1,5,1.0,4.0,2.5,16725.600000000002,False
Drowzee,51.1,psychic,none,82.2,119.3,134,1314314,40.0,Confusion,Psyshock,Return,70,-45,1.56,130,-70,1.86,16,3,12,2.0,4.0,3.0,15986.199999999999,False
Nosepass (Shadow),51.1,rock,none,76.7,181.8,92,1281951,40.0,Rock Throw,Rock Slide,Rock Blast,75,-45,1.67,50,-40,1.25,8,1,5,1.0,4.0,2.5,16725.600000000002,False
Salamence (Shadow),51.0,dragon,flying,145.5,90.0,117,1532681,14.5,Dragon Tail,Outrage,Hydro Pump,110,-60,1.83,130,-75,1.73,9,2,10,1.5,3.0,3.33,10530.0,True
Pineco (Shadow),50.6,bug,none,97.2,108.3,120,1262964,40.0,Bug Bite,Sand Tomb,Rock Tomb,25,-40,0.63,70,-60,1.17,3,0,3,0.5,3.0,3.0,12996.0,False
Kabuto,50.5,rock,water,128.8,122.5,92,1451748,40.0,Mud Shot,Ancient Power,Aqua Jet,45,-45,1.0,45,-45,1.0,3,1,9,1.0,1.5,4.5,11270.0,True
Accelgor,50.3,bug,none,144.7,84.0,127,1543319,22.0,Infestation,Bug Buzz,Acid Spray,90,-60,1.5,20,-50,0.4,6,2,12,1.5,2.0,4.0,10668.0,False
Drowzee (Shadow),49.9,psychic,none,82.2,119.3,134,1314314,40.0,Confusion,Psyshock,Psychic,70,-45,1.56,90,-55,1.64,16,3,12,2.0,4.0,3.0,15986.199999999999,False
Snubbull,49.9,fairy,none,120.1,79.0,134,1272133,40.0,Bite,Crunch,Brick Break,70,-45,1.56,40,-35,1.14,4,0,2,0.5,4.0,2.0,10586.0,False
Porygon (Shadow),49.7,normal,none,120.6,114.6,133,1837749,34.5,Charge Beam,Discharge,Signal Beam,65,-45,1.44,75,-55,1.36,5,2,11,1.5,1.67,3.67,15241.8,False
Kadabra,49.5,psychic,none,167.1,89.4,90,1344532,26.5,Psycho Cut,Shadow Ball,Return,100,-55,1.82,130,-70,1.86,3,1,9,1.0,1.5,4.5,8046.000000000001,False
Tauros,49.4,normal,none,126.4,118.5,118,1768243,20.5,Tackle,Horn Attack,Earthquake,40,-35,1.14,120,-65,1.85,3,0,2,0.5,3.0,2.0,13983.0,False
Hitmonlee,49.2,fighting,none,143.1,117.1,93,1557776,21.5,Rock Smash,Close Combat,Stone Edge,100,-45,2.22,100,-55,1.82,9,2,6,1.5,3.0,2.0,10890.3,False
Ponyta (Galarian),49.2,psychic,none,134.5,108.6,113,1650512,35.5,Psycho Cut,Play Rough,Psybeam,90,-60,1.5,70,-60,1.17,3,1,9,1.0,1.5,4.5,12271.8,False
Axew,49.0,dragon,none,133.6,91.7,114,1395833,40.0,Scratch,Dragon Claw,Aqua Tail,50,-35,1.43,50,-35,1.43,4,0,2,0.5,4.0,2.0,10453.800000000001,False
Anorith,48.8,rock,bug,149.1,89.4,112,1493530,39.0,Struggle Bug,Ancient Power,Cross Poison,45,-45,1.0,40,-35,1.14,9,2,8,1.5,3.0,2.67,10012.800000000001,True
Stantler (Shadow),48.4,normal,none,135.6,94.0,130,1656457,26.0,Tackle,Wild Charge,Stomp,100,-45,2.22,55,-40,1.38,3,0,2,0.5,3.0,2.0,12220.0,False
Koffing,48.3,poison,none,105.9,123.3,106,1383946,40.0,Infestation,Dark Pulse,Sludge Bomb,80,-50,1.6,80,-50,1.6,6,2,12,1.5,2.0,4.0,13069.8,False
Buneary,47.9,normal,none,114.6,94.8,127,1380184,40.0,Quick Attack,Fire Punch,Swift,55,-40,1.38,60,-55,1.09,5,1,7,1.0,2.5,3.5,12039.6,False
Stantler,47.6,normal,none,135.6,94.0,130,1656457,26.0,Tackle,Wild Charge,Stomp,100,-45,2.22,55,-40,1.38,3,0,2,0.5,3.0,2.0,12220.0,False
Pineco,47.0,bug,none,97.2,108.3,120,1262964,40.0,Bug Bite,Return,Sand Tomb,130,-70,1.86,25,-40,0.63,3,0,3,0.5,3.0,3.0,12996.0,False
Reuniclus,46.9,psychic,none,128.7,93.7,144,1737172,19.0,Hidden Power (Fighting),Shadow Ball,Future Sight,100,-55,1.82,120,-65,1.85,9,2,8,1.5,3.0,2.67,13492.800000000001,False
Kadabra (Shadow),46.7,psychic,none,167.1,89.4,90,1344532,26.5,Psycho Cut,Shadow Ball,Psybeam,100,-55,1.82,70,-60,1.17,3,1,9,1.0,1.5,4.5,8046.000000000001,False
Koffing (Shadow),46.7,poison,none,105.9,123.3,106,1383946,40.0,Infestation,Dark Pulse,Sludge Bomb,80,-50,1.6,80,-50,1.6,6,2,12,1.5,2.0,4.0,13069.8,False
Phanpy,46.7,ground,none,96.4,89.3,175,1506816,40.0,Rock Smash,Body Slam,Rock Slide,60,-35,1.71,75,-45,1.67,9,2,6,1.5,3.0,2.0,15627.5,False
Lopunny,46.1,normal,none,113.8,142.8,121,1966343,28.0,Low Kick,Fire Punch,Focus Blast,55,-40,1.38,140,-75,1.87,4,1,5,1.0,2.0,2.5,17278.800000000003,False
Duosion,45.7,psychic,none,150.6,79.9,123,1479312,28.0,Hidden Power (Psychic),Psyshock,Thunder,70,-45,1.56,100,-60,1.67,9,2,8,1.5,3.0,2.67,9827.7,False
Timburr,43.1,fighting,none,117.8,80.6,154,1461811,40.0,Low Kick,Brick Break,Rock Tomb,40,-35,1.14,70,-60,1.17,4,1,5,1.0,2.0,2.5,12412.4,False
Solosis,41.3,psychic,none,146.2,77.4,113,1279559,40.0,Hidden Power (Psychic),Psyshock,Thunder,70,-45,1.56,100,-60,1.67,9,2,8,1.5,3.0,2.67,8746.2,False
Deerling,40.2,normal,grass,102.7,90.9,134,1251209,40.0,Tackle,Wild Charge,Seed Bomb,100,-45,2.22,55,-40,1.38,3,0,2,0.5,3.0,2.0,12180.6,True
Munna,39.3,psychic,none,99.6,84.6,156,1313599,40.0,Charge Beam,Psyshock,Dazzling Gleam,70,-45,1.56,110,-70,1.57,5,2,11,1.5,1.67,3.67,13197.599999999999,False
Spoink,37.7,psychic,none,110.6,108.3,134,1605230,40.0,Zen Headbutt,Shadow Ball,Mirror Coat,100,-55,1.82,60,-55,1.09,8,2,6,1.5,2.67,2.0,14512.199999999999,False
Clefairy,36.4,fairy,none,96.4,97.2,147,1377737,40.0,Zen Headbutt,Body Slam,Disarming Voice,60,-35,1.71,70,-45,1.56,8,2,6,1.5,2.67,2.0,14288.4,False
Slaking,28.3,normal,none,139.3,82.8,138,1592510,12.0,Yawn,Body Slam,Earthquake,60,-35,1.71,120,-65,1.85,0,3,12,2.0,0.0,3.0,11426.4,False
Cranidos,21.8,rock,none,165.3,63.2,129,1347532,30.5,Take Down,Ancient Power,Bulldoze,45,-45,1.0,80,-60,1.33,5,2,8,1.5,1.67,2.67,8152.8,False
